ID,Ngày thu thập,Quốc gia,Loại robot,Buyer/User,Use case,Lifecycle stage,Subsystem,Component,Material,Manufacturing process,Supplier/Company,Supplier country/region,China advantage signal,US/AU friction signal,Raw claim / fact,Source URL,Source type,Publication date,Exact evidence snippet / paraphrase ngắn,Confidence,Fact / Hypothesis / Inference,Missing / Unknown,Notes
R139,2026-09-19,AU,Cobot / industrial arm / machine tending,"Manufacturing SMEs (food processing, packaging)",Cobot adoption for cost-effective automation,growth,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"Australia's robotics-in-manufacturing installed base reached 4.6 thousand units in 2025, projected to reach 17.4 thousand units by 2034 (15.44% CAGR); Australian Cobotics Centre (ARC-funded industry training/transformation centre) is a dedicated national research body for collaborative robotics in advanced manufacturing; cobot rental is available in the AU market at A$1,000-3,000/month including maintenance/software/support, explicitly lowering the SME adoption barrier; research on Australian-SME adoption found 'innovativeness' as the most significant adoption factor and presence of an internal 'project champion' as the second.",https://www.imarcgroup.com/australia-robotics-in-manufacturing-market,market research report,2025-2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific cobot unit-price or China-vs-non-China cobot brand-share breakdown for the AU market located.,"Substantially deepens Pass-1's AU cobot coverage (which had none dedicated to AU) with an AU-specific installed-base figure, a named AU research institution, and rental-pricing data."
R140,2026-09-19,Global,Maker / hobby / education robot,unknown,unknown,N/A,Compute / controller,"Microcontroller / single-board computer (Arduino, Raspberry Pi)",unknown,unknown,"Arduino (IT, acquired by Qualcomm Oct 2025, folded into Dragonwing edge-AI ecosystem); Raspberry Pi (UK-designed, manufactured under contract by Sony, Wales/Japan); KEYESTUDIO (CN, hobbyist kits/shields)","Italy/US (Arduino, post-Qualcomm acquisition); UK design, Sony (JP) contract manufacture (Raspberry Pi); China (KEYESTUDIO accessory ecosystem)",unknown,unknown,"Most hobbyist robotics projects combine Arduino (low-level motor/encoder/servo control, $10-25) with Raspberry Pi (high-level compute -- vision, path planning, ROS integration, $35-75+); Raspberry Pi is manufactured under contract by Sony; Qualcomm acquired Arduino (announced Oct 7, 2025), integrating it into its Dragonwing edge-AI product line; Raspberry Pi 5 pricing rose to $205 for a 16GB model (a 70% premium over the original $35 MSRP) attributed to an AI-driven DRAM shortage.",https://jlcpcb.com/blog/arduino-vs-raspberry-pi,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-specific hobbyist-board pricing/availability data located.,"Direct maker/hobby-view compute-subsystem coverage, including a DRAM-shortage-driven price friction relevant to maker-level cost planning."
R141,2026-09-19,Global,Multiple,unknown,unknown,N/A,unknown,unknown,unknown,unknown,unknown,unknown,"The Chinese government allocated over US$20B in subsidies to its robotics industry in late 2024; robotics is designated one of 8 'strategic emerging industries' in China's 15th Five-Year Plan (2026-2030), elevated from a sub-plan status in the 14th FYP; the 2025 Humanoid Robot Action Plan (MIIT + 5 ministries) sets a national target of 100,000 humanoid robots deployed by 2027 and explicitly calls for building a 'complete domestic supply chain' for humanoid components (high-performance actuators, dexterous hands, perception systems); Shenzhen's Futian District (robotics cluster program, effective Jan 2026) and Longgang District (dedicated government bureau administering 5 subsidy programs for AI/robotics firms) are named sub-national policy examples; Jiangsu Province offers a 15% consumer-purchase subsidy on eligible smart products including humanoid robots, exoskeletons and robot dogs.",unknown,"China's robotics industrial policy operates at national (15th FYP strategic-industry designation, Humanoid Robot Action Plan with explicit domestic-supply-chain-building mandate), provincial (Jiangsu consumer subsidy) and municipal/district (Shenzhen Futian/Longgang cluster and subsidy programs) levels simultaneously.",https://jamestown.org/policy-support-for-robotics-firms-shows-defense-integration/,think tank / policy research publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,none,"This is the clearest single 'China structural supply-side advantage at the market-map level' record in the dataset -- explicit government policy naming component-level self-sufficiency (actuators, dexterous hands, perception) as a stated national goal, directly matching the issue's required research-chain endpoint."
R142,2026-09-19,US,Multiple,unknown,unknown,N/A,Safety,unknown,unknown,unknown,unknown,unknown,unknown,"US industrial-robot safety compliance runs through ANSI/RIA R15.06 (harmonized with ISO 10218-1/-2) plus UL testing/certification (e.g. UL 3300, now part of OSHA's NRTL-program approved test-standard list; ANSI/CAN/UL 3300 and ISO 13482 apply to personal-care/service robots); required testing spans electrical safety, mechanical safety, functional-safety evaluation, cybersecurity assessment, EMC testing and performance verification; retrofitting safety features after development (rather than designing to standard from the start) is explicitly flagged as increasing cost and delaying certification.","UL, SGS and TUV SUD all offer dedicated robotics safety testing/certification service lines in the US market as of this pass, indicating compliance is a recognized, monetized step in the US robotics go-to-market process distinct from the underlying ISO standard itself.",https://www.ul.com/services/robotic-safety-security-and-performance,testing/certification body (UL),unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No specific dollar cost figure for UL/ANSI robot certification was located in this pass -- a real gap (certifiers do not publish list pricing).,Extends Pass-1's general safety-standards awareness (and this pass's R#-ISO-10218 record) with the US-specific compliance-body layer (UL/ANSI/RIA) that sits on top of the ISO base standard -- directly responsive to the issue's 'tariff/compliance/logistics' evidence requirement.
R143,2026-09-19,AU,Multiple,unknown,unknown,N/A,unknown,Machinery / robotics equipment (import),unknown,unknown,unknown,unknown,unknown,"Australian customs duty on machinery (Chapter 84, which covers most robotics/automation equipment) averages 2% MFN, with a general Chapter-84 rate commonly cited at 5% of FOB value before concessions; electrical machinery (Chapter 85) averages 2.5% MFN; a 10% GST applies to all imports regardless of duty rate; the China-Australia Free Trade Agreement (ChAFTA) allows 0% preferential tariff on eligible Chinese-origin goods with a valid Certificate of Origin; a Tariff Concession Order (TCO) can also reduce duty to 0% when no equivalent AU-made good exists.","AU's combined effective import cost on Chinese-origin robotics machinery can be as low as 10% (GST only, if ChAFTA/TCO duty-free) or as high as ~15% (5% duty + 10% GST) depending on classification and concession eligibility -- markedly lower than the US's 25%+ Section 301-driven tariff on the same Chinese-origin robotics goods.",https://www.calcmytariff.com/country/australia,industry publication (tariff data aggregator),2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,inference,No official Australian Border Force primary-source citation was captured directly in this pass (aggregator source only) -- flagged for a follow-up using the ABF tariff classification database directly.,"This is a directly useful, quantified AU-vs-US friction/asymmetry data point: China-origin robotics equipment faces materially lower import-cost friction entering AU (ChAFTA-eligible, ~10-15% effective) than entering the US (~25%+ Section 301) -- a structural difference relevant to the issue's US/AU friction research chain."
R144,2026-09-19,Global,"Multiple (humanoid, cobot, AMR)",unknown,unknown,N/A,Power,DC-DC converter / power supply (joint servo drive power stage),unknown,unknown,Advanced Energy (US); Traco Power (CH); RECOM (AT); Axiomatic Technologies (CA); ABSOPULSE (CA); TPS Elektronik (DE),US/Switzerland/Austria/Canada/Germany (no China-based supplier named in this specific search round),unknown,unknown,"Named power-electronics suppliers for robot joint servo drives, mobile robots and AGVs span Advanced Energy (US, AC-DC PSU + DC-DC for collaborative robots/AGVs), Traco Power (Switzerland), RECOM (Austria), Axiomatic Technologies and ABSOPULSE (Canada), and TPS Elektronik (Germany, HCLS1 DC-DC family for compact high-efficiency joint servo-drive power).",https://www.advancedenergy.com/en-us/applications/industrial/transport-robotics/,company official site / industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,"No China-based power-electronics-for-robotics supplier identified in this search round -- logged as a negative finding, not assumed absent.",
R145,2026-09-19,Global,Humanoid / general-purpose,unknown,unknown,N/A,Compute / controller,Whole-body motion-control software/controller,unknown,unknown,"NVIDIA (US, SONIC whole-body controller, published in Science Robotics 2026); Yibajwu Robotics (Suzhou, CN); Zhejiang University of Technology (CN, academic)","US (NVIDIA); China (Yibajwu Robotics, ZJUT)",unknown,unknown,"NVIDIA's SONIC is described as a general-purpose whole-body controller acting as a humanoid robot's 'motor system,' translating high-level commands into coordinated full-body motion, documented in a 2026 Science Robotics paper; Chinese examples include Yibajwu Robotics' 2026 hierarchical dynamics-optimization model (fusing real-time joint signals with historical optimization data) and Zhejiang University of Technology's reinforcement-learning approach to running/jumping gait design.",https://techxplore.com/news/2026-09-ai-vr-video-language-humanoid.html,academic/research news (Science Robotics-sourced),2026-09,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Software/algorithm layer, not a physical-component supply-chain fact -- included because the issue's Compute/controller subsystem spans both; no market-share/commercialization data for whole-body-control software located.",
R146,2026-09-19,US,Startup-built custom robot systems,Hardware startup (concept to pre-production),Prototype cost budgeting,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"US hardware-prototype cost bands (2026): proof-of-concept US$2,000-8,000; functional prototype US$5,000-15,000; pre-production (final-spec-matching) prototype US$10,000-30,000; most consumer-hardware programs land at US$5,000-25,000 for a first meaningful prototype, then a similar amount again across 2-3 iterations; small-batch manufacturing runs US$15-80/unit depending on complexity, with typical minimums starting at 20 units; average BOM cost has risen ~12% due to specialized-semiconductor and materials cost increases; standard budgeting guidance adds a 25% contingency to engineering-labor estimates.",https://calcix.net/guides/business-startup/hardware-product-development-budgeting-guide,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"This is a general hardware-startup cost source, not robotics-specific or team-size-segmented -- partially closes Pass-1 gap #7 (small-team tooling/cost scale) with the best proxy located, explicitly flagged as a proxy rather than a robotics-specific figure.",
R147,2026-09-19,Global,Multiple,unknown,unknown,N/A,Mechanical structure,"Sheet-metal chassis / bracket / enclosure (laser-cut, formed)",unknown,"Laser cutting, CNC press-braking, welding","RapidDirect (Shenzhen, CN); Zhongshan Suwei Automation (CN); JUSHUN (Guangzhou, CN); Komaspec (US)",China (Pearl River Delta: Shenzhen/Dongguan/Foshan -- over 70% of top-tier sheet-metal suppliers located there per source); US (Komaspec),"The Pearl River Delta (Shenzhen, Dongguan, Foshan) is named as the epicenter of sheet-metal fabrication for consumer electronics, telecom and medical devices, with over 70% of top-tier suppliers concentrated there; named China suppliers (RapidDirect, Zhongshan Suwei, JUSHUN) combine laser cutting, CNC bending/punching, welding and surface finishing under single-vendor DFM-to-delivery process chains.",unknown,"China's sheet-metal fabrication ecosystem for robotics/electronics enclosures is geographically concentrated (Pearl River Delta, >70% of top-tier suppliers) and vertically bundled (DFM engineering through laser cutting, CNC bending and finishing in one vendor); the single named US comparator (Komaspec) offers a comparable process range (laser cutting, CNC bending, manual/robotic welding, stamping) but without a quantified US capacity-share figure.",https://yijinsolution.com/industry-insights/top-10-sheet-metal-fabrication-companies-robotics/,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No quantified US sheet-metal-for-robotics capacity/market-share figure located for direct comparison to China's 70%+ Pearl River Delta concentration.,
R148,2026-09-19,AU,Multiple,Government research agency (CSIRO),"Cross-sector robotics R&D (agriculture, mining, manufacturing, defence, energy)",N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"CSIRO Robotics (Brisbane, Queensland) is Australia's national-science-agency robotics R&D body, partnering with companies/government/industry in Australia and globally across agriculture, advanced manufacturing, mining, biodiversity/biosecurity, environmental monitoring and cultural heritage; 2026 initiatives include repurposing mining-derived autonomous robots for solar-farm inspection/maintenance, an EPE-CSIRO defence/security robotics testing facility (MILTECS, Pullenvale) serving defence/law-enforcement/agriculture/manufacturing/mining, and a A$10M Green Metals Innovations Network (co-led with the Heavy Industry Low-carbon Transition CRC) for sustainable-mining robotics/automation.",https://research.csiro.au/robotics/,"government research agency (CSIRO, official site)",2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No CSIRO robotics program budget total (beyond the named A$10M Green Metals initiative) located.,"Primary AU-government-research-institution source, directly matching issue's preferred source types and materially strengthening AU-side institutional evidence relative to Pass-1's thinner AU coverage."
R149,2026-09-19,Global,Humanoid / general-purpose,Global humanoid-robot buyers,"Humanoid unit shipments (OEM-level, not SKU)",early-production,unknown,unknown,unknown,unknown,unknown,unknown,"China's humanoid-robot output is projected to surge 94% in 2026; Unitree and AgiBot together are projected to capture nearly 80% of total global humanoid shipments (TrendForce); adding UBTECH (~7%) and Leju (~5%), Chinese firms control nearly 90% of global humanoid-robot installations as of this pass -- the single starkest China concentration figure found across both research passes for any robot category.",unknown,"Unitree Robotics (Hangzhou) became the world's top humanoid seller in 2025, revenue surging to 1.71B yuan (~US$250M) in 2025 from 392M yuan (~US$57M) in 2024; CEO Wang Xingxing forecasts 10,000-20,000 unit deliveries in 2026; over 40% of Unitree's revenue is generated overseas; Unitree filed for a Shanghai IPO (US$610M) in March 2026 and completed a blockbuster market debut in August 2026. UBTech (founded 2012, first humanoid company to go public, 2023) produced ~1,000 humanoid units in 2025 and has run at a loss since at least 2020.",https://www.trendforce.com/presscenter/news/20260409-13007.html,market research firm (TrendForce),2026-04,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,"This is the finished-unit (OEM) level, not component-level -- the issue's scope-lock (no supplier-product/SKU mining) is respected; component-level detail for Unitree/AgiBot/UBTech products is explicitly out of scope for this pass.",This single record is arguably the strongest 'China structural advantage at market-map level' data point in the entire two-pass dataset (near-90% global humanoid-shipment concentration in 4 Chinese firms) -- directly responsive to the issue's required research-chain endpoint.
R150,2026-09-19,US,Multiple,unknown,unknown,N/A,Compute / controller,AI accelerator chip / GPU (import-export control context),unknown,unknown,unknown,unknown,unknown,"US Bureau of Industry and Security (BIS) revised the license-review posture for NVIDIA H200-/AMD MI325X-equivalent chips (and lesser-performance chips) from 'presumption of denial' to 'case-by-case review' effective Jan 13, 2026; the US also affirmed (per a 2026 notice) that chip-shipment restrictions extend to subsidiaries of Chinese companies located outside China, closing a flagged loophole; as of this pass, the Department of Commerce is 'unlikely to proactively introduce new export-control rules' during ongoing 2026 US-China trade negotiations, i.e. a temporary policy pause rather than resolution; Congress's proposed 'AI OVERWATCH Act' (passed committee Jan 22, 2026) would shift AI-chip export-license authority from Commerce to Congress.","US semiconductor export-control policy toward China is in active flux in 2026 -- alternating between tightening (subsidiary-loophole closure, proposed Congressional override) and easing (case-by-case review replacing presumption-of-denial for certain chip tiers) within the same year, tied to broader US-China trade negotiations.",https://eastasiaforum.org/2026/03/11/us-chip-export-controls-have-cooled-down/,think tank / policy research publication,2026-03,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Direct linkage from these chip-export-control rules to robotics-specific edge-AI-chip supply (as opposed to general AI/data-center GPUs) was not explicitly quantified in sources found this round -- inference, not directly confirmed for robotics compute modules specifically.","This is a volatile, actively-changing policy area -- logged with its specific date/status rather than treated as a stable fact, per the issue's instruction to capture as-of evidence rather than assume permanence."
R151,2026-09-19,China,AMR / warehouse / logistics,unknown,unknown,N/A,Motion / actuator,Mecanum wheel / integrated wheel-motor drivetrain module,unknown,unknown,"RoboCT (Hangzhou, CN); Hangzhou Mindong (CN); Zhejiang Bailiyou Power Technology (CN); KUKA (DE, Omnimove drive technology)","China (RoboCT, Hangzhou Mindong, Zhejiang Bailiyou); Germany (KUKA)","Multiple named China-based suppliers (RoboCT, Hangzhou Mindong, Zhejiang Bailiyou) offer integrated mecanum-wheel drivetrain modules combining hub motor, gearbox, encoder, Hall sensor and shock absorber in a single all-in-one component, simplifying AMR/AGV integration; Zhejiang Bailiyou's heavy-duty mecanum wheels are rated to 4,500kg load capacity; Hangzhou Mindong offers BLDC-customizable smart wheels up to 2,500W.",unknown,"China-based mecanum-wheel/drivetrain-module suppliers offer vertically-integrated (motor+gearbox+encoder+sensor+suspension) AMR wheel modules at stated load ratings up to 4,500kg; KUKA (Germany) is the named non-China incumbent, offering Omnimove mecanum-wheel omnidirectional drive technology for heavy industrial AMR platforms.",https://www.roboct-global.com/mobile-robot-components/mecanum-wheel/,company official site / industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No US-based mecanum-wheel/drivetrain-module manufacturer identified in this search round.,
R152,2026-09-19,Global,Agriculture robot,unknown,unknown,N/A,Perception / sensor,GNSS/RTK receiver module (centimeter-level positioning),unknown,unknown,Septentrio (BE); LOCOSYS (TW); CHC Navigation (CN); Topcon (JP); Unicore Communications (CN),"Belgium (Septentrio); Taiwan (LOCOSYS); China (CHC Navigation, Unicore); Japan (Topcon)","China-based GNSS/RTK suppliers (CHC Navigation, Unicore Communications) are named alongside Belgian, Taiwanese and Japanese incumbents as agriculture-grade GNSS/RTK module suppliers; Unicore's multi-system multi-frequency RTK technology is claimed to achieve better-than-2cm positioning accuracy and 0.1 degree/1m baseline orientation accuracy.",unknown,"Agriculture-grade RTK-GNSS modules (used for autonomous-tractor/robot guidance) achieve decimeter-to-centimeter positioning accuracy; named suppliers span Belgium (Septentrio), Taiwan (LOCOSYS, dual-frequency dual-antenna RTK-4671-MHPD for precision ag/drones), China (CHC Navigation, Unicore) and Japan (Topcon, full autosteering for ag machinery).",https://en.unicore.com/gnss-agriculture/,company official site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No market-share breakdown among these named GNSS suppliers for the agriculture-robotics segment specifically located.,Directly extends the Agriculture-robot Perception/sensor subsystem (opened in Round 2) down to the named-component level required by the issue's Section C.
R153,2026-09-19,unknown,Cobot / industrial arm / machine tending,unknown,unknown,N/A,Safety,Power-and-force-limiting (PFL) joint torque/current sensing for human-contact safety,unknown,unknown,unknown,unknown,unknown,unknown,"ISO/TS 15066 (the world's first collaborative-robot-specific safety specification, supplementing ISO 10218-1/-2) defines four collaborative-operation modes: safety-rated monitored stop, hand guiding, speed-and-separation monitoring, and power-and-force limiting (PFL); PFL uses joint torque sensing, motor current monitoring, or dedicated force sensors to detect human contact and limit contact force/pressure below injury thresholds defined in ISO/TS 15066 Table A.2, which specifies limits for 29 specific body areas grouped into 12 body regions.",https://www.automate.org/robotics/tech-papers/iso-ts-15066-explained,industry association (Association for Advancing Automation / Automate.org),unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No manufacturer-level component (which named torque-sensor/current-monitoring chip suppliers implement PFL compliance) breakdown located in this specific search round.,Deepens the Safety subsystem (opened in Round 1 with ISO 10218) with the cobot-specific ISO/TS 15066 standard and its concrete PFL mechanism -- the technical link between the Safety subsystem and the Motion/actuator subsystem's torque sensor (added Round 2).
R154,2026-09-19,unknown,"Multiple (AMR, mobile cobot)",unknown,unknown,N/A,Communication,5G / cellular connectivity module (factory-wide wireless control),unknown,unknown,unknown,unknown,unknown,unknown,"Most industrial robots remain wired because current wireless speeds cannot support the data throughput of a warehouse-scale robot fleet; 5G Ultra-Reliable Low-Latency Communication (URLLC) is positioned as the technology enabling motion control, mobile-robot control and safety functions to move wireless, letting robots move freely across a factory/campus's full 5G coverage; a named example: a Beijing automaker deploying 5G industrial transfer robots using Qualcomm and Thundercomm (China) 5G/AI technology.",https://www.i4verse.com/article/role-of-5g-in-enabling-advanced-robotics-and-ai-in-manufacturing,industry publication,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No US or AU factory-scale 5G-robotics deployment example located in this search round (only the China/Beijing example) -- flagged as a US/AU adoption-lag data gap for this specific technology.,"Extends the Communication subsystem (opened Round 1 with EtherCAT/wired fieldbus) with the wireless/5G layer and an explicit named China deployment example, contrasted with an absence of found US/AU examples."
R155,2026-09-19,US,Startup-built custom robot systems,Pre-seed/seed hardware-robotics founders,Accelerator/incubator support,N/A,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"HAX (part of SOSV) is named as one of the few accelerators purpose-built for hardware/robotics, headquartered in Newark, NJ with deep Shenzhen engineering-support roots and an SF presence; provides up to US$500,000 early investment plus daily hands-on engineering support via a 6-month 'build-first' residency (focus: industrial automation, robotics, advanced materials, climate/health hardware, 'atoms + AI'); since opening its Newark site (spring 2024), HAX has backed 50+ startups, created 160+ jobs, and those companies have collectively raised $60M+ in follow-on funding. Y Combinator's recent batches are described as having become 'unmistakably physical-AI heavy.'",https://www.peony.ink/blog/hardware-accelerators,industry publication,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No AU-based hardware-robotics accelerator/incubator with comparable scale identified in this pass -- a specific AU startup-support-infrastructure gap.,"Extends the Startup-built custom robot systems category with concrete US startup-support-infrastructure data (accelerators, funding-per-program, follow-on-funding outcomes) not previously present in either pass."
R156,2026-09-19,Global,Maker / hobby / education robot,unknown,unknown,N/A,unknown,3D-printer filament (PLA/ABS/PETG/TPU),PLA; ABS; PETG; TPU,unknown,unknown,China (Guangdong -- electronics-supply-chain/port-access cluster; Zhejiang -- chemical-materials cluster),"China dominates global 3D-printer-filament production; Guangdong is the primary manufacturing cluster (named suppliers: Shenzhen Qi Pang Technology, Zhuhai Sunlu Industrial) benefiting from mature electronics supply chains and port access, while Zhejiang supplies chemical-material infrastructure; Polymaker (Suzhou-headquartered, global distribution) is a named China-based filament maker with international R&D centers; claimed cost advantage is 30-50% lower than Western filament producers via economies of scale.",unknown,China 3D-printer-filament suppliers offer 1.75mm/2.85mm diameter options across PLA/ABS/PETG/TPU with +/-0.02mm precision tolerance and flexible MOQs; several named suppliers report 100% on-time delivery rates in the source (self-reported).,https://jingsourcing.com/p/wholesale-3d-printing-filament/,industry publication / sourcing agent site,unknown,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,low,supplier-claimed,No US-based filament manufacturer's market share identified for direct comparison.,Directly relevant to the maker/hobby view's 3D-printing material-sourcing question (relates to Pass-1 gap #8).
R157,2026-09-19,US,Startup-built custom robot systems,Hardware/robotics startups and OEMs,On-demand manufacturing marketplace (CNC/3D-print/injection-molding sourcing),N/A,unknown,unknown,unknown,unknown,"Xometry (US, North Bethesda MD, founded 2013, $687M 2025 revenue, 1,500 employees, 5,000+ global manufacturing partners, AI Instant Quoting Engine); Protolabs (US, Maple Plain MN, founded 1999, public since 2012); Fictiv (US, founded 2013, clients include Amazon Robotics)","US (Xometry, Protolabs, Fictiv are all US-headquartered platforms that route orders to a global, partly China-inclusive, partner-manufacturer network)",unknown,unknown,"Xometry, Protolabs and Fictiv are the three most-cited on-demand/digital manufacturing marketplaces used by US hardware/robotics startups, spanning CNC machining, 3D printing, injection molding and sheet metal; Fictiv is specifically named as building parts for robots, with Amazon Robotics cited as a client.",https://en.wikipedia.org/wiki/Xometry,"industry publication / company data (Wikipedia, cross-referenced with company disclosures)",2025-2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,No equivalent AU-based on-demand-manufacturing marketplace identified with comparable scale in this search round.,Directly extends the Startup-built custom robot systems category with the concrete US sourcing-infrastructure layer that sits between a startup's CAD/BOM (Round 3) and actual fabrication.
R158,2026-09-19,Global,Inspection / field robot,unknown,unknown,N/A,Perception / sensor,Drone gimbal / stabilized camera system,unknown,unknown,DJI (CN),China (DJI),"DJI holds over 70% of the global consumer and commercial drone market, the largest share of any single manufacturer, extending to gimbal-camera systems; DJI designs and manufactures camera systems, gimbal stabilizers, propulsion systems, enterprise software, aerial-agriculture equipment and flight-control systems in-house (vertically integrated); March 2026 DJI Avata 360 launch (8K/60fps, dual high-res sensors, omnidirectional obstacle avoidance) shown as a recent product example.","DJI is excluded from US government and federally funded programs under NDAA (National Defense Authorization Act) restrictions -- a direct US policy friction against the single most dominant supplier in this component category, forcing US federal/defense-adjacent inspection-robot buyers toward alternative (non-DJI) drone/gimbal suppliers at a cost/capability disadvantage.","Highest-demand 2026 commercial drone services are infrastructure inspection (roofing, power lines, cell towers), construction-progress monitoring, agricultural crop monitoring/spraying, and public-safety support -- directly overlapping the issue's Inspection/field robot and Agriculture robot categories.",https://en.wikipedia.org/wiki/DJI,industry publication / company data,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No AU-specific DJI-restriction policy (comparable to the US NDAA exclusion) identified in this pass.,"A second strong, explicit China-concentration + US-friction pairing (after LiDAR and humanoid-hands) for a named, dominant component supplier directly relevant to the Inspection/field robot category."
R159,2026-09-19,China,Multiple,Robotics OEMs / startups (component sourcing),Local component-cluster sourcing speed,N/A,unknown,unknown,unknown,unknown,unknown,unknown,"Shenzhen's robotics industry reached 242.6B yuan output value in 2025 (+20.56% YoY); industrial-robot production ~194,900 units (25.2% of China's national share); service-robot production 7.96M units (42.9% of China's national market); 1,000+ core robotics enterprises and 2,600+ above-designated-size AI enterprises in Shenzhen by 2026; within a 100km radius of central Shenzhen, a company can source brushless DC motors, harmonic drives, strain-wave gears, CNC-machined aluminum frames, injection-molded housings, custom PCBs, depth cameras, IMUs, force-torque sensors and power electronics, often with first samples in one week; Shenzhen's 2025-2027 Action Plan for Embodied Intelligent Robotics targets expanding the cluster to 1,200+ enterprises and fostering 10+ companies valued at US$1.4B+, while advancing AI chips and dexterous manipulation.",unknown,"Shenzhen's hardware ecosystem enables robotic-arm prototyping in days rather than months, attributed not just to price but to suppliers' comfort with short development cycles and frequent design changes -- a structural speed/flexibility advantage distinct from (and compounding) the raw cost advantage documented elsewhere in this dataset.",https://corematter.substack.com/p/inside-chinas-robotics-supply-chain,industry publication / independent commentary,2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,medium,fact,"Source is independent commentary, not a primary government/institutional source for the enterprise-count and output-value figures -- flagged as needing primary-source corroboration (e.g. Shenzhen municipal statistics bureau) if used for a decision.","The single most comprehensive 'why China wins structurally' narrative record in the dataset -- names nearly every component category already logged elsewhere (motors, harmonic drives, PCBs, IMUs, force-torque sensors) as available within one geographic cluster, directly matching the issue's required 'China structural advantage at the market-map level' research-chain endpoint."
R160,2026-09-19,AU,Multiple,unknown,unknown,N/A,unknown,Machinery / capital goods (import from US),unknown,unknown,unknown,unknown,unknown,"Under AUSFTA (signed 18 May 2004, in force 1 Jan 2005), Australia eliminated all tariffs on capital-goods/machinery imports from the US immediately upon implementation (prior AU tariffs on machinery parts ranged 0-15%, averaging 3.5% in 2003); the US eliminated all tariffs on capital goods immediately except certain hand tools/vises-clamps (phased over 4 years); AUSFTA-qualifying goods currently enter at 0% duty plus a 10% Section 122 surcharge, for an effective 10% total.","AUSFTA capital-goods tariff elimination is bilateral and near-total, meaning AU-US robotics/machinery trade in either direction faces materially lower tariff friction (effectively ~10% AU-side, per the GST-equivalent Section 122 surcharge) than either country's trade with China under Section 301/general-MFN tariffs.",https://www.dfat.gov.au/about-us/publications/trade-investment/australia-united-states-free-trade-agreement-guide-to-the-agreement/Pages/ausfta-guide,government publication (Australian Dept. of Foreign Affairs and Trade),2004-2026,Paraphrase captured directly in the Raw claim / fact column above (see Source URL for original wording).,high,fact,No robotics-specific (vs. general capital-goods) AUSFTA tariff-line detail located.,"Primary AU-government source; establishes the baseline AU-US trade-friction floor (near-zero) against which the earlier ChAFTA (China) and Section-301 (US-China) friction records in this dataset can be read as relative comparisons -- not merged into one conclusion, kept as a separate record per the raw-data rule."
